Timestamp	We are trying to better understand flaky tests and we would love your input.  Filling out this short questionnaire can help us gain a much better understanding of flaky tests and the challenges they present. Your responses to this questionnaire will be used as part of a research project, as explained in the Participant Information Sheet (https://docs.google.com/document/d/1ShwU1k1v3ZK7tft2ysszmzO0Bj8yY5jcLtkAGB_-808). Unless you choose to provide your email address, no personal information will be collected and your responses will be anonymous. Where there are open-ended questions, your words may be quoted in publications and other research outputs. Your responses will be made publicly available, with the exception of your email address if you choose to provide it, as part of an aggregated data set from the responses of all participants. You are free to withdraw from this study at any time by closing this questionnaire before you submit, or if you have already submitted, by contacting us (contact details are available in the Participant Information Sheet). Please indicate that you consent to these conditions. If you do not consent, please do not proceed with the questionnaire.	A flaky test is a test case that can both pass and fail without any changes to the code under test. Do you agree with this definition?	If you answered "No, I do not agree" to the previous question, please give your own definition of a flaky test.	How often do you observe flaky tests in the projects you’re currently working on?	To what extent do you agree with the following statements: [Flaky tests reduce the reliability of testing.]	To what extent do you agree with the following statements: [Flaky tests reduce the efficiency of testing.]	To what extent do you agree with the following statements: [Flaky tests lead to a loss of productivity.]	To what extent do you agree with the following statements: [Flaky tests lead to a loss of confidence in testing.]	To what extent do you agree with the following statements: [Flaky tests hinder continuous integration.]	To what extent do you agree with the following statements: [Flaky tests make it more likely for you to ignore (potentially genuine) test failures.]	To what extent do you agree with the following statements: [It is difficult to reproduce a flaky test failure.]	To what extent do you agree with the following statements: [It is difficult to differentiate between a test failure due to a genuine bug and a test failure due to flakiness.]	In the projects you’re currently working on, how often have you encountered flaky tests caused by... [Not correctly waiting for the results of asynchronous calls to become available.]	In the projects you’re currently working on, how often have you encountered flaky tests caused by... [Synchronization issues between multiple threads interacting in an unsafe or unanticipated manner (e.g., data races, atomicity violations, deadlocks).]	In the projects you’re currently working on, how often have you encountered flaky tests caused by... [Tests not properly cleaning up after themselves or failing to set up their necessary preconditions.]	In the projects you’re currently working on, how often have you encountered flaky tests caused by... [Improper management of resources (e.g., not closing a file or not deallocating memory).]	In the projects you’re currently working on, how often have you encountered flaky tests caused by... [Dependency on a network connection.]	In the projects you’re currently working on, how often have you encountered flaky tests caused by... [Not accounting for all the possible outcomes of random data generators or code that uses them.]	In the projects you’re currently working on, how often have you encountered flaky tests caused by... [Reliance on the local system time/date.]	In the projects you’re currently working on, how often have you encountered flaky tests caused by... [Inaccuracies when performing floating point operations.]	In the projects you’re currently working on, how often have you encountered flaky tests caused by... [Assuming a particular iteration order for an unordered collection-type object (e.g., sets).]	In the projects you’re currently working on, how often have you encountered flaky tests caused by... [Reasons that cannot be precisely determined.]	Have you encountered any other causes of flaky tests that we have not described above?	After identifying a flaky test, how often do you… [Take no action.]	After identifying a flaky test, how often do you… [Re-run the build.]	After identifying a flaky test, how often do you… [Document and defer (e.g., submit an issue/bug report).]	After identifying a flaky test, how often do you… [Delete the test.]	After identifying a flaky test, how often do you… [Quarantine the test.]	After identifying a flaky test, how often do you… [Mark the test to be skipped or as an expected failure (e.g., xfail).]	After identifying a flaky test, how often do you… [Mark the test to be automatically repeated (e.g., by using the flaky plugin for pytest).]	After identifying a flaky test, how often do you… [Attempt to repair the flakiness.]	Are there any other actions that you would take that we have not listed above?	Which languages are you currently developing in?	How many years experience do you have in commercial and/or open-source software development?	Thanks for taking part, is there anything else that you would like to tell us about flaky tests?	If you would like to be notified of the results of this study, please leave us your email (optional).
7/6/2021 21:09:15	Yes, I consent.	Yes, I agree		A few times a year	Agree	Agree	Strongly agree	Agree	Strongly agree	Agree	Strongly agree	Disagree	Rarely	Rarely	Sometimes	Never	Often	Rarely	Never	Never	Never	Sometimes		Rarely	Often	Rarely	Rarely	Rarely	Never	Often	Often		JavaScript, Java, C++, Crystal	2 - 4		
7/6/2021 22:11:05	Yes, I consent.	Yes, I agree		A few times a year	Agree	Disagree	Disagree	Disagree	Agree	Strongly disagree	Strongly agree	Agree	Rarely	Rarely	Sometimes	Sometimes	Sometimes	Never	Rarely	Sometimes	Never	Rarely		Rarely	Often	Sometimes	Never	Never	Rarely	Rarely	Often		Java, C++, C	13 +		
7/6/2021 22:49:01	Yes, I consent.	Yes, I agree		Weekly	Agree	Strongly agree	Strongly agree	Agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Rarely	Never	Sometimes	Never	Never	Never	Never	Never	Never	Never	Hardware performance not consistent with time outs. 	Never	Often	Sometimes	Rarely	Often	Rarely	Never	Often	Reorder tests in case they are order-dependent. 	JavaScript	2 - 4	They’re no fun :(	
7/7/2021 20:20:03	Yes, I consent.	Yes, I agree		A few times a year	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Sometimes	Sometimes	Never	Sometimes	Sometimes	Sometimes	Often	Rarely	Rarely	Sometimes		Often	Often	Rarely	Rarely	Rarely	Often	Rarely	Often		JavaScript, Python, Java, PHP, Go, Ruby	13 +		
7/8/2021 19:50:16	Yes, I consent.	Yes, I agree		A few times a year	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Agree	Disagree	Agree	Sometimes	Sometimes	Often	Often	Never	Rarely	Often	Rarely	Sometimes	Rarely		Never	Sometimes	Sometimes	Sometimes	Sometimes	Rarely	Never	Often	Rewrite problematic code to make it more testable.	JavaScript, TypeScript	13 +	Usually they indicate a code smell somewhere, whether that be issues with the applications architecture/implementation/testability or issues with the tests, testing strategies. I tend to come across flaky tests more in end to end tests or poorly encapsulated/tightly coupled code.	
7/10/2021 20:06:47	Yes, I consent.	Yes, I agree		A few times a year	Disagree	Disagree	Disagree	Strongly disagree	Agree	Agree	Agree	Disagree	Never	Rarely	Sometimes	Sometimes	Sometimes	Never	Rarely	Rarely	Rarely	Sometimes		Never	Sometimes	Sometimes	Never	Never	Never	Never	Often		Java, C++, C	13 +		
7/11/2021 11:35:12	Yes, I consent.	Yes, I agree		A few times a year	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Agree	Agree	Strongly agree	Often	Sometimes	Sometimes	Sometimes	Often	Rarely	Sometimes	Rarely	Sometimes	Often		Never	Sometimes	Often	Rarely	Never	Sometimes	Never	Sometimes		Swift	2 - 4		
7/11/2021 11:43:57	Yes, I consent.	No, I do not agree	I think it’s broader than that and includes things like tests that pass independent of conditions	Monthly	Strongly agree	Agree	Agree	Strongly agree	Disagree	Strongly agree	Agree	Agree	Sometimes	Often	Often	Sometimes	Often	Often	Sometimes	Rarely	Sometimes	Sometimes	Saw one set of tests for a database that got 15% pass rate even if the database was not loaded	Rarely	Often	Sometimes	Sometimes	Rarely	Often	Rarely	Sometimes	Look disappointed at the next meeting where I’m told how great our testing is?	Python, Java, TypeScript, C++, Go, Swift, Objective-C	13 +		
7/11/2021 11:49:50	Yes, I consent.	Yes, I agree		Weekly	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Agree	Disagree	Sometimes	Sometimes	Often	Rarely	Rarely	Sometimes	Sometimes	Never	Sometimes	Sometimes			Often	Often	Sometimes	Often	Sometimes	Often	Often		JavaScript, Java	13 +	We're putting in a concerted effort to change the culture of flaky tests, so that developers and release managers can have more confidence in CI, and move towards true CD	
7/11/2021 11:56:53	Yes, I consent.	Yes, I agree		Monthly	Agree	Strongly agree	Agree	Disagree		Agree	Agree	Agree	Never	Sometimes	Rarely	Never	Rarely	Never	Never	Never	Never	Rarely		Sometimes	Often	Sometimes	Sometimes	Sometimes	Sometimes	Sometimes	Often		Python, Java, C++, C, Perl	13 +		
7/11/2021 12:20:20	Yes, I consent.	Yes, I agree		A few times a year	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Agree	Agree	Never	Rarely	Rarely	Rarely	Rarely	Never	Sometimes	Sometimes	Sometimes	Often		Rarely	Sometimes	Rarely	Often	Rarely	Never	Never	Often		C	13 +		
7/11/2021 12:31:48	Yes, I consent.	Yes, I agree		A few times a year	Strongly agree	Disagree	Disagree	Strongly agree	Strongly agree	Disagree	Strongly agree	Disagree	Rarely	Sometimes	Never	Never	Never	Never	Sometimes	Never	Never	Often	UTC date rollover	Often	Often	Often	Rarely	Sometimes	Sometimes	Never	Often	Recreate/move testing environment and retest	JavaScript, Ruby, Perl	13 +	Johari window is a relevant concept	
7/11/2021 12:34:50	Yes, I consent.	Yes, I agree		Monthly	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Agree	Strongly agree	Agree	Never	Sometimes	Often	Often	Never	Rarely	Sometimes	Never	Never	Never		Often	Often	Never	Rarely	Never	Never	Never	Rarely		JavaScript, C#, TypeScript	2 - 4	If I were to identify one as part of a PR, I would not accept it until after it was fixed or removed. Unfortunately, due to the flakiness they aren't identified until some time after they have been accepted into the main branch	
7/11/2021 12:53:57	Yes, I consent.	Yes, I agree		Monthly	Strongly agree	Strongly agree	Agree	Agree	Strongly agree	Agree	Strongly agree	Disagree	Sometimes	Sometimes	Often	Often	Rarely	Sometimes	Often	Rarely	Rarely	Never		Sometimes	Often	Never	Never	Rarely	Rarely	Never	Sometimes		Scala	13 +		
7/11/2021 13:19:37	Yes, I consent.	Yes, I agree		A few times a year	Strongly agree	Strongly agree	Strongly agree	Agree	Strongly agree	Disagree	Agree	Strongly disagree	Never	Never	Never	Never	Never	Never	Sometimes	Never	Never	Never		Rarely	Never	Rarely	Never	Never	Never	Never	Often		JavaScript, C#	13 +		
7/11/2021 13:32:39	Yes, I consent.	Yes, I agree		Monthly	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Disagree	Agree	Sometimes	Sometimes	Sometimes	Rarely	Often	Never	Sometimes	Never	Rarely	Never		Never	Often	Sometimes	Rarely	Sometimes	Rarely	Never	Sometimes		JavaScript, Python, C, Go, Ruby	13 +		
7/11/2021 13:46:14	Yes, I consent.	Yes, I agree		A few times a year	Strongly disagree	Strongly agree	Disagree	Strongly disagree	Strongly agree	Agree	Disagree	Disagree	Never	Never	Sometimes	Often	Sometimes	Sometimes	Rarely	Never	Often	Rarely			Sometimes	Sometimes	Never	Sometimes	Sometimes	Never	Sometimes	The aim is to repair and remove the flakiness but sometimes this gets deferred and we just ‘put up with it’ far longer than we should. That we can do this for an extended period is probably more an indication that our continuous integration game is not as sophisticated as it should be.	JavaScript, Python, Swift	13 +	All bar one of our flaky tests are due to inexperienced developers and their assumptions. The one that wasn’t was resource cleanup that wasn’t being done in a corner case (when other flaky tests caused crashes!) that I had been too lazy to fix.	
7/11/2021 14:24:59	Yes, I consent.	Yes, I agree		A few times a year	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Agree	Agree	Agree	Never	Never	Rarely	Never	Rarely	Rarely	Never	Never	Sometimes	Sometimes		Rarely	Sometimes	Rarely	Never	Never	Never	Never	Sometimes		Python, Java	5 - 8		
7/11/2021 14:29:10	Yes, I consent.	Yes, I agree		A few times a year	Strongly agree	Agree	Agree	Strongly agree	Strongly agree	Agree	Agree	Disagree	Often	Rarely	Sometimes	Rarely	Often	Rarely	Never	Never	Rarely	Rarely		Sometimes	Often	Often	Sometimes	Sometimes	Often	Rarely	Sometimes		JavaScript, TypeScript	13 +		
7/11/2021 14:29:13	Yes, I consent.	Yes, I agree		Weekly	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Agree	Rarely	Never	Sometimes	Never	Sometimes	Never	Never	Never	Never	Sometimes		Rarely	Often	Rarely	Rarely	Sometimes	Never	Sometimes	Sometimes		JavaScript, Python, TypeScript, Swift	13 +		
7/11/2021 14:32:45	Yes, I consent.	Yes, I agree		Weekly	Agree	Agree	Disagree	Agree	Agree	Disagree	Strongly agree	Strongly agree	Never	Never	Never	Never	Often	Rarely	Rarely	Never	Rarely	Sometimes		Sometimes	Rarely	Rarely	Never	Sometimes	Sometimes	Sometimes	Rarely		Python	9 - 12		
7/11/2021 15:02:38	No, I do not consent.																																			
7/11/2021 15:02:45	Yes, I consent.	Yes, I agree		Weekly	Disagree	Agree	Strongly agree	Strongly disagree	Strongly agree	Agree	Disagree	Disagree	Rarely	Rarely	Sometimes	Rarely	Sometimes	Never	Rarely	Sometimes	Rarely	Sometimes	Ci system taking too long to begin tests causing step to timeout 	Never	Often	Often	Rarely	Rarely	Rarely	Never	Sometimes	Check against list of known flaky tests	C, Swift, Objective-C	9 - 12		
7/11/2021 16:02:07	Yes, I consent.	Yes, I agree		Weekly	Agree	Strongly agree	Strongly agree	Agree	Strongly agree	Agree	Agree	Disagree	Sometimes	Sometimes	Often	Often	Rarely	Never	Rarely	Never	Rarely	Often		Sometimes	Often	Sometimes	Rarely	Sometimes	Sometimes	Never	Sometimes		Python	5 - 8		
7/11/2021 16:37:31	Yes, I consent.	Yes, I agree		A few times a year	Strongly agree	Agree	Agree	Strongly agree	Strongly agree	Strongly agree	Agree	Disagree	Never	Rarely	Sometimes	Sometimes	Never	Rarely	Never	Rarely	Never	Never	Resource availability (e.g. tests use a lot of memory, usually the test machine can handle it, sometimes it can't); similarly, tests at or near time-out limits; effect of other services on the machine and updates to them, e.g. anti-virus and similar intrusive services	Rarely	Sometimes	Often	Rarely	Sometimes	Rarely	Never	Often		Python	13 +	flaky tests can be valuable as they often point to an underlying weakness in the codebase (including third-party) in how resources, threading, etc are managed.   Diagnosing and fixing this can be a very worthwhile activity.  flaky tests are also a good warning sign that the code is so complex that the developers have lost control over its design and behavior.	
7/11/2021 17:35:38	Yes, I consent.	Yes, I agree		Monthly	Agree	Disagree	Strongly disagree	Strongly disagree	Strongly agree	Disagree	Disagree	Disagree	Often	Never	Never	Never	Never	Never	Never	Never	Rarely	Rarely		Sometimes	Often	Sometimes	Never	Never	Rarely	Often	Often		JavaScript, Python	9 - 12		
7/11/2021 17:38:30	Yes, I consent.	Yes, I agree		Daily	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Disagree	Disagree	Often	Never	Sometimes	Never	Sometimes	Rarely	Often	Rarely	Often	Rarely		Sometimes	Sometimes	Often	Never	Never	Often	Rarely	Sometimes		JavaScript, Ruby	9 - 12		
7/11/2021 23:03:21	Yes, I consent.	Yes, I agree		A few times a year	Agree	Agree	Agree	Agree	Agree	Disagree	Disagree	Strongly disagree	Often	Rarely	Sometimes	Rarely	Never	Rarely	Rarely		Rarely	Rarely	Using "eventually consistent" databases	Rarely	Sometimes	Sometimes	Never	Sometimes	Rarely	Never	Often		JavaScript, Python, Java	13 +		
7/12/2021 0:49:05	Yes, I consent.	Yes, I agree		A few times a year	Strongly agree	Agree	Disagree	Agree	Agree	Disagree	Agree	Disagree	Rarely	Never	Rarely	Never	Sometimes	Never	Rarely	Never	Never	Never		Never	Sometimes	Often	Never	Rarely	Rarely	Never	Often		JavaScript, Python	9 - 12		
7/13/2021 11:06:02	Yes, I consent.	Yes, I agree		A few times a year	Agree	Agree	Agree	Agree	Strongly agree	Agree	Strongly agree	Strongly agree	Sometimes	Never	Sometimes	Never	Rarely	Never	Never	Rarely	Never	Never		Sometimes	Often	Sometimes	Never	Rarely	Rarely	Never	Often		JavaScript, Java, TypeScript, Kotlin	13 +		
7/13/2021 11:41:28	Yes, I consent.	Yes, I agree		A few times a year	Strongly agree	Strongly agree	Agree	Strongly agree	Strongly agree	Strongly agree	Agree	Strongly agree	Never	Never	Often	Never	Never	Never	Never	Never	Often	Never			Often						Often		Python, C#	13 +		
7/13/2021 11:45:45	Yes, I consent.	Yes, I agree		A few times a year	Disagree	Agree	Strongly agree	Disagree	Strongly agree	Agree	Strongly agree	Agree	Never	Sometimes	Sometimes	Never	Never	Rarely	Rarely	Never	Never	Sometimes		Rarely	Often	Rarely	Never	Never	Never	Never	Sometimes		JavaScript, Python	9 - 12		
7/13/2021 12:13:58	Yes, I consent.	Yes, I agree		A few times a year	Strongly agree	Strongly agree	Agree	Agree	Strongly agree	Strongly agree	Agree	Strongly agree	Rarely	Never	Rarely	Never	Never	Never	Rarely	Never	Never	Never		Never	Often	Sometimes	Never	Never	Never	Never	Often		JavaScript, TypeScript, Kotlin, Ruby	13 +	Often the hardest part is getting developer & product buy-in to fix them – there's a perception that they're hard to fix and can be time-sink.	
7/13/2021 12:21:42	Yes, I consent.	Yes, I agree		Weekly	Agree	Agree	Strongly agree	Agree	Disagree	Agree	Agree	Agree	Never	Rarely	Sometimes	Sometimes	Never	Never	Never	Never	Never	Sometimes			Often	Sometimes				Rarely	Often		Python	5 - 8		
7/14/2021 14:49:46	Yes, I consent.	Yes, I agree		Monthly	Strongly agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Rarely	Rarely	Sometimes	Rarely	Rarely	Sometimes	Rarely	Never	Never	Rarely		Rarely	Often	Sometimes	Rarely	Never	Sometimes	Never	Often		JavaScript, TypeScript	0 - 1		
7/14/2021 19:48:29	Yes, I consent.	Yes, I agree		A few times a year	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Disagree	Disagree	Agree	Sometimes	Rarely	Sometimes	Sometimes	Often	Sometimes	Never	Never	Sometimes	Never		Often	Sometimes	Rarely	Never	Never	Sometimes	Never	Sometimes		Java	13 +		
7/14/2021 19:54:22	Yes, I consent.	Yes, I agree		A few times a year	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Disagree	Rarely	Rarely	Sometimes	Sometimes	Sometimes	Often	Rarely	Rarely	Rarely	Rarely			Often	Sometimes	Sometimes	Rarely	Sometimes	Rarely	Often		JavaScript, Java	9 - 12		
7/15/2021 11:47:12	Yes, I consent.	Yes, I agree		Weekly	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Never	Often	Sometimes	Never	Rarely	Never	Sometimes	Never	Often	Sometimes		Often	Often	Sometimes	Rarely	Rarely	Rarely	Never	Often		Java	13 +		
7/15/2021 13:58:58	Yes, I consent.	Yes, I agree	Mostly agree however sometimes define a test that only fails on CI to be flakey as well	Weekly	Agree	Strongly agree	Agree	Agree	Strongly agree	Disagree	Agree	Disagree	Sometimes	Rarely	Rarely	Rarely	Rarely	Rarely	Sometimes	Rarely	Sometimes	Often	UI not being in the expected state. Ie keyboard not closed, or animations not completed when checking results	Sometimes	Often	Sometimes	Rarely	Rarely	Sometimes	Never	Sometimes		Kotlin, Swift	9 - 12		
7/15/2021 14:04:07	Yes, I consent.	Yes, I agree		Weekly	Agree	Agree	Agree	Agree	Agree	Disagree	Agree	Agree	Rarely	Never	Rarely	Never	Never	Never	Rarely	Never	Never	Sometimes	Docker VMs failing for no apparent reason.  I.e. a chain of services shutting down resulting in iis being shut down, bearing the test environment. 	Often	Often	Rarely	Rarely	Sometimes	Sometimes	Never	Rarely	Moan about the component tests being flakey in our febrile discussion channels. 	C#	13 +	A stable CI system is essential for productive development at scale. 	
7/15/2021 23:22:25	Yes, I consent.	Yes, I agree		A few times a year	Agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Disagree	Agree	Disagree	Never	Never	Rarely	Never	Sometimes	Never	Sometimes	Rarely	Sometimes	Sometimes	Assumptions about undocumented/unspecified behavior of a library that is broken by a subsequent version.	Rarely	Sometimes	Sometimes	Rarely	Sometimes	Rarely	Rarely	Often	Sometimes mocking a dependency can fix the problem.	Java, Go, Rust	5 - 8		
7/15/2021 23:46:30	Yes, I consent.	Yes, I agree		Monthly	Agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Sometimes	Sometimes	Rarely	Never	Often	Never	Never	Rarely	Sometimes	Often		Rarely	Sometimes	Often	Never	Rarely	Often	Never	Often		JavaScript, PHP, Zig	13 +		
7/19/2021 14:54:48	Yes, I consent.	Yes, I agree		Daily	Strongly agree	Agree	Agree	Strongly agree	Strongly agree	Agree	Disagree	Disagree	Rarely	Often	Sometimes	Often	Sometimes	Rarely	Sometimes	Rarely	Rarely	Rarely	Hardware dependency might play a role.	Rarely	Often	Never	Rarely	Sometimes	Rarely	Never	Never		Python, C++, C, bash	2 - 4		
7/19/2021 15:42:33	Yes, I consent.	Yes, I agree		Monthly	Disagree	Agree	Strongly agree	Strongly agree	Agree	Agree	Agree	Agree	Often	Sometimes	Sometimes	Rarely	Sometimes	Never	Rarely	Never	Never	Rarely	no	Never	Often	Often	Rarely	Rarely	Never	Never	Sometimes	no	Python, Java	0 - 1	no	
7/19/2021 18:42:16	Yes, I consent.	Yes, I agree		Weekly	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Often	Often	Rarely	Rarely	Sometimes	Never	Never	Never	Rarely	Rarely		Never	Often	Sometimes	Sometimes	Sometimes	Sometimes	Never	Often		JavaScript, Python, PHP, Swift, Scala	2 - 4		
7/20/2021 10:42:26	Yes, I consent.	Yes, I agree		A few times a year	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Rarely	Rarely	Never	Never	Sometimes	Never	Sometimes	Sometimes	Rarely	Rarely		Sometimes	Often	Sometimes	Rarely	Rarely	Rarely	Rarely	Often		JavaScript, Java	13 +	its always the way you test wich is the problem	
7/20/2021 11:54:14	Yes, I consent.	No, I do not agree	A flaky test is a test run against code which produces different results each time. Ideally code with a set of inputs will output the same result each time. So if it fails with a set of inputs, either the fail will be reproduced each time or there will be a very valid reason for the output passing due to the SAME inputs being used. A flaky test is therefore either unreliable itself or it proves the code under test is flawed and unreliable.	A few times a year	Disagree	Disagree	Disagree	Disagree	Disagree	Agree	Agree	Strongly agree	Sometimes	Sometimes	Sometimes	Sometimes	Rarely	Sometimes	Rarely	Sometimes	Rarely	Sometimes	Changes in hardware that the code and tests are running on	Rarely	Often	Often	Rarely	Rarely	Never	Rarely	Often		JavaScript, Java, PHP, C, Ruby, Swift, Objective-C, Actionscript 3	13 +		
7/20/2021 22:51:28	Yes, I consent.	Yes, I agree		A few times a year	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Often	Rarely	Sometimes	Rarely	Rarely	Never	Often	Never	Rarely		ordering of test execution; hidden dependencies between tests.	Rarely	Often	Sometimes	Rarely	Never	Rarely	Rarely	Sometimes		JavaScript, Java, Go	5 - 8		
7/20/2021 23:55:34	Yes, I consent.	Yes, I agree		A few times a year	Agree	Strongly agree	Strongly agree	Agree	Strongly agree	Agree	Strongly agree	Disagree	Sometimes	Sometimes	Often	Often	Rarely	Never	Never	Never	Never	Rarely		Rarely	Often	Sometimes	Never	Never	Never	Never	Often		Go	13 +		
7/22/2021 14:55:56	Yes, I consent.	Yes, I agree		Monthly	Strongly agree	Agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Agree	Agree	Sometimes	Rarely	Often	Sometimes	Rarely	Sometimes	Often	Never	Rarely	Often		Rarely	Often	Often	Sometimes	Sometimes	Rarely	Rarely	Often		JavaScript, TypeScript, Ruby, Rust, Elixir	9 - 12		
7/22/2021 15:53:20	Yes, I consent.	Yes, I agree		A few times a year	Agree	Agree	Strongly agree	Disagree	Agree	Agree	Agree	Strongly agree	Sometimes	Sometimes	Sometimes	Rarely	Sometimes	Sometimes	Often	Sometimes	Sometimes	Sometimes		Never	Often	Sometimes	Rarely	Sometimes	Sometimes	Rarely	Often		Ruby	13 +		
7/22/2021 17:37:28	Yes, I consent.	Yes, I agree		A few times a year	Strongly agree	Agree	Strongly agree	Strongly agree	Strongly agree	Agree	Disagree	Disagree	Sometimes	Rarely	Sometimes	Never	Rarely	Rarely	Never	Sometimes	Often	Rarely		Never	Often	Sometimes	Often	Never	Never	Never	Often		JavaScript, Ruby	13 +		
7/22/2021 18:11:46	Yes, I consent.	Yes, I agree		Weekly	Agree	Agree	Agree	Disagree	Agree	Strongly agree	Disagree	Disagree	Never	Never	Often	Sometimes	Never	Never	Never	Never	Never	Rarely		Rarely	Often	Sometimes	Never	Never	Never	Never	Rarely		Ruby	13 +		
7/24/2021 7:43:33	Yes, I consent.	Yes, I agree		Weekly	Strongly agree	Strongly agree	Strongly agree	Agree	Strongly agree	Strongly agree	Agree	Disagree	Often	Rarely	Rarely	Never	Often	Never	Rarely	Never	Never	Often	This may simply be an extension of 'asynchronous calls' but when running integration tests on a webpage, the test would often find an element too 'early', but then fail because it becomes detached from the DOM while the page is still loading. 	Rarely	Often	Rarely	Never	Rarely	Never	Sometimes	Often		JavaScript, C#, TypeScript	0 - 1	It always seems like the more of the system you test (with integration/e2e tests) the more flaky the tests are going to be. On my current project we started with the assumption we could also test our backend processes but quickly realised that could not be relied upon and tests were incredibly flaky. We ended up with tests that stub out the network requests to fake the behaviour of the backend, only testing our frontend Typescript/Javascript + HTML/CSS templates. 	
7/26/2021 10:34:33	Yes, I consent.	Yes, I agree		Monthly	Disagree	Agree	Agree	Agree	Strongly agree	Disagree	Agree	Agree	Sometimes	Rarely	Never	Rarely	Sometimes	Sometimes	Sometimes	Rarely	Sometimes	Sometimes		Never	Sometimes	Often	Rarely	Often	Rarely	Never	Sometimes		JavaScript, Ruby, Rust	5 - 8		
8/2/2021 21:25:28	Yes, I consent.	Yes, I agree		Monthly	Strongly agree	Strongly agree	Agree	Strongly agree	Strongly agree	Strongly agree	Agree	Disagree	Sometimes	Sometimes	Often	Often	Often	Rarely	Often	Never	Sometimes	Often		Rarely	Often	Sometimes	Never	Rarely	Rarely	Rarely	Often		Go	5 - 8		
8/13/2021 20:09:56	Yes, I consent.	Yes, I agree		Monthly	Disagree	Disagree	Agree	Disagree	Strongly agree	Disagree	Agree	Agree	Rarely	Sometimes	Sometimes	Sometimes	Never	Sometimes	Rarely	Rarely	Rarely	Never		Never	Sometimes	Rarely	Never	Never	Never	Never	Often		JavaScript, Java, TypeScript	9 - 12		
9/14/2021 17:38:50	Yes, I consent.	Yes, I agree		A few times a year	Strongly agree	Strongly agree	Agree	Strongly agree	Strongly agree	Disagree	Agree	Agree	Rarely	Sometimes	Often	Never	Sometimes	Never	Often	Never	Rarely	Rarely		Never	Often	Sometimes	Rarely	Never	Never	Never	Sometimes		JavaScript, Python	9 - 12		
9/14/2021 23:00:06	Yes, I consent.	Yes, I agree		A few times a year	Agree	Agree	Strongly agree	Agree	Disagree	Disagree	Agree	Agree	Never	Rarely	Rarely	Never	Never	Sometimes	Never	Never	Never	Never	global variables :(	Rarely	Never	Rarely	Sometimes	Never	Never	Rarely	Sometimes		JavaScript, C#, TypeScript, Visual Basic, MUMPS	9 - 12		
9/16/2021 12:11:12	Yes, I consent.	Yes, I agree		Daily	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Disagree	Agree	Often	Often	Often	Never	Never	Never	Rarely	Never	Rarely	Sometimes		Sometimes	Often	Sometimes	Rarely	Never	Never	Sometimes	Sometimes		JavaScript, Java	13 +		
9/16/2021 14:22:08	Yes, I consent.	Yes, I agree		Daily	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Agree	Agree	Agree	Disagree	Often	Never	Never	Never	Sometimes	Never	Never	Never	Never	Sometimes		Rarely	Often	Often	Never	Never	Often	Often	Often		JavaScript	9 - 12	We have built a huge system along our CI which tracks all test runs, monitors flake rates, automatically re-runs failures, and ignores failures once a test has been tagged as flaky.  Weekly reports go out whenever a test flakes often enough. This system helps immensely, but has taken years to mature and lots of money to build.	
9/17/2021 8:32:46	Yes, I consent.	Yes, I agree		Monthly	Strongly agree	Agree	Agree	Strongly agree	Strongly agree	Disagree	Disagree	Disagree	Rarely	Never	Rarely	Never	Never	Rarely	Sometimes	Never	Often	Rarely	Probably, but nothing specific comes to mind at this moment	Never	Often	Often	Never	Never	Rarely	Never	Sometimes	Nope	Elixir	2 - 4		
